customer_id,customer_name,email,city,country,loyalty_status
10001,Shannon Bowen,ellie58@example.com,Leeds,UK,Bronze
10002,Jeremy Harris,areed@example.net,Glasgow,UK,Gold
10003,Dr Leslie Hughes,jessicawebb@example.com,Birmingham,UK,Bronze
10004,Anthony Harrison-Stephenson,elliotmoss@example.org,Glasgow,UK,Gold
10005,Marian Carroll,nelsonpeter@example.net,Glasgow,UK,Gold
10006,Elaine Hall,kirsty69@example.org,Manchester,UK,Silver
10007,Miss Grace Rahman,petersjustin@example.org,Birmingham,UK,Silver
10008,Julie Hall,justin38@example.net,Birmingham,UK,Silver
10009,Andrew Graham,rachellewis@example.net,Birmingham,UK,Silver
10010,Dr Donald Rowley,qwalker@example.org,Glasgow,UK,Bronze
10011,Mitchell Pearson-Gibson,elliegould@example.org,Leeds,UK,Bronze
10012,Janice Turner-Kemp,barberkeith@example.com,Birmingham,UK,Bronze
10013,Mrs Dorothy Thomas,kate56@example.org,Glasgow,UK,Gold
10014,Glen Carter-Hall,margaret64@example.org,Manchester,UK,Bronze
10015,Mr Kyle Jones,williamsonmohammad@example.org,Leeds,UK,Bronze
10016,Marilyn Mason,bowenjacob@example.com,Manchester,UK,Bronze
10017,Carly Mitchell-Kaur,amber74@example.org,Leeds,UK,Silver
10018,Denise Thornton,gerardmurphy@example.com,Glasgow,UK,Bronze
10019,Bethany Cunningham,annette19@example.net,London,UK,Gold
10020,Ms Grace Davis,pateljodie@example.net,Leeds,UK,Silver
10021,Terry Davis,fosterharriet@example.net,Manchester,UK,Gold
10022,Jack Collins,darren97@example.org,Glasgow,UK,Bronze
10023,Deborah Hawkins,bennettemma@example.com,Leeds,UK,Silver
10024,Mr Stuart Turner,jeansingh@example.org,London,UK,Gold
10025,Ms Stephanie Walton,eric72@example.net,London,UK,Bronze
10026,Mr Antony Khan,holmesgeraldine@example.org,Birmingham,UK,Gold
10027,Tina Jones-Walker,watsonnicola@example.com,Birmingham,UK,Gold
10028,Miss Denise Brown,anthonyrogers@example.org,Manchester,UK,Gold
10029,Craig Russell,sandersonian@example.com,Leeds,UK,Bronze
10030,Judith Owen,lmartin@example.org,Leeds,UK,Bronze
10031,Harriet King,shawsandra@example.net,Birmingham,UK,Gold
10032,Mr Alexander Sharp,donnabaker@example.org,Leeds,UK,Silver
10033,Ms Rachel Cooper,mporter@example.com,Leeds,UK,Silver
10034,Robin Barnes-Adams,mosskevin@example.net,London,UK,Bronze
10035,Dorothy Taylor,wrussell@example.org,Birmingham,UK,Bronze
10036,Nicola Williams-O'Donnell,louisethompson@example.org,Glasgow,UK,Bronze
